School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,% English Language Learner,% Students With Disabilities,% Graduated,% Dropped Out,% Attending College,Average SAT_Math,Average SAT_Reading,% AP_Score 3-5,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level,IF_Classification,State_Level
South Shore Charter Public School,S Shore CS Publ,Norwell,Charter School,758,18.0,14.5,38.0,15.8,15.7,100.0,0.0,79.5,489.0,518.0,69.8,,Level 2,59.0,Thriving,The school boasts a perfect graduation rate and strong college attendance.,Graduation,SAT scores,High School,Thriving,Level 2
So Shore Vocational Technical High,So Shore Voc Te,Hanover,Public School,636,13.0,25.6,47.6,0.0,30.8,93.7,2.8,42.7,464.0,459.0,,20231.82,Level 2,45.0,Performing,The school has a high graduation rate but lower college attendance and SAT scores.,Graduation Rate,College Attendance,High School,Struggling,Level 2
Southeastern Regional Vocational Technical,Southeastern Re,South Easton,Public School,1416,16.1,39.1,55.0,1.8,21.2,97.0,1.0,55.8,425.0,426.0,12.5,20009.8,Level 1,52.0,Performing,The school boasts a high graduation rate of 97% and maintains average outcomes in college attendance.,Graduation Rate,SAT Scores,High School,Performing,Level 1
Mt Everett Regional,Mt Everett Reg,Sheffield,Public School,292,10.3,29.5,41.8,1.4,18.2,94.9,5.1,71.9,501.0,514.0,53.3,18946.22,Level 2,79.0,Performing,The school boasts a high graduation rate of 94.9% and solid college attendance.,Graduation rate,SAT scores,High School,Performing,Level 2
Bay Path Regional Vocational Technical High School,Bay Path Reg Vo,Charlton,Public School,1114,13.9,26.8,36.2,0.0,14.6,94.3,2.7,42.3,470.0,459.0,26.7,17881.01,Level 1,55.0,Performing,Bay Path Regional Vocational Technical High School boasts a commendable graduation rate of 94.3%.,Graduation rate,College attendance,High School,Struggling,Level 1
Southwick Regional School,Southwick Reg,Southwick,Public School,737,15.3,16.8,30.0,0.8,19.0,91.4,6.1,81.4,522.0,518.0,60.8,13377.33,Level 1,59.0,Performing,Southwick Regional School maintains solid graduation and college attendance rates.,Graduation,SAT Scores,High School,Performing,Level 1
David Prouty High,David Prouty Hi,Spencer,Public School,338,15.8,32.8,39.6,0.6,11.8,74.1,13.0,68.8,518.0,514.0,44.6,12730.89,Level 1,25.0,Performing,David Prouty High demonstrates solid college attendance rates despite a notable dropout rate.,College attendance,Dropout rate,High School,Struggling,Level 1
High School Of Commerce,HS Of Commerce,Springfield,Public School,1250,15.8,73.8,85.2,25.2,21.9,58.2,22.8,56.7,356.0,353.0,,15027.78,Level 4,4.0,At Risk,The school faces significant challenges with a graduation rate of just 58.2%.,N/A,Low graduation rate,High School,At Risk,Level 4
Roger L. Putnam Vocational Technical Academy,Roger L. Putnam,Springfield,Public School,1442,13.0,65.8,72.8,10.1,16.0,92.6,2.7,58.4,371.0,354.0,22.6,15027.78,Level 3,18.0,Performing,"The graduation rate is commendable, but college attendance remains a concern.",Graduation,College Attendance,High School,Performing,Level 3
Springfield Central High,Springfield Cen,Springfield,Public School,2055,17.0,62.4,70.1,12.6,16.3,82.2,9.6,75.4,410.0,403.0,35.3,15027.78,Level 3,9.0,Struggling,Springfield Central High faces significant challenges with low SAT scores and high dropout rates.,Graduation rate,SAT scores,High School,Performing,Level 3
Springfield High School,Springfield HS,Springfield,Public School,117,7.7,88.0,93.2,12.8,39.3,11.6,59.4,58.8,,,,15027.78,Insufficient data,,At Risk,Springfield High School faces critical challenges with a graduation rate of only 11.6%.,College attendance,Dropout rate,High School,At Risk,Insufficient data
Springfield High School of Science and Technology,Springfield H 2,Springfield,Public School,1366,13.1,73.9,84.0,21.1,21.5,58.6,18.4,54.3,336.0,332.0,5.8,15027.78,Level 4,2.0,At Risk,Springfield High School of Science and Technology has alarmingly low graduation rates and SAT scores.,Engagement,Graduation,High School,At Risk,Level 4
The Springfield Renaissance School an Expeditionary Learning School,Springfield Ren,Springfield,Public School,713,16.1,47.8,55.5,2.1,15.8,89.8,3.1,84.4,433.0,433.0,26.5,15027.78,Level 2,23.0,Performing,The school has a commendable graduation rate and college attendance but needs improvement in SAT scores.,Graduation rate,SAT scores,High School,Performing,Level 2
Stoneham High,Stoneham High,Stoneham,Public School,679,14.3,12.8,24.2,2.4,12.4,94.6,2.0,88.1,490.0,497.0,65.9,14939.72,Level 1,76.0,Thriving,Stoneham High boasts an impressive graduation rate and college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Stoughton High,Stoughton High,Stoughton,Public School,1061,16.5,22.0,32.5,2.4,12.3,92.9,5.1,84.0,518.0,512.0,62.2,13517.4,Level 2,49.0,Performing,"Stoughton High has high graduation and college attendance rates, indicating solid overall performance.",Graduation rate,SAT scores,High School,Performing,Level 2
Sturgis Charter Public School,Sturgis CS Publ,Hyannis,Charter School,804,14.1,13.6,22.8,0.0,11.2,97.5,0.5,89.5,562.0,585.0,,,Level 1,98.0,Thriving,Sturgis Charter Public School boasts an impressive 97.5% graduation rate and 89.5% college attendance.,Graduation rate,None,High School,Thriving,Level 1
Sutton High School,Sutton HS,Sutton,Public School,426,16.9,7.0,15.3,0.0,10.8,95.5,1.8,86.8,521.0,523.0,59.0,12410.66,Level 2,62.0,Performing,Sutton High School boasts a high graduation rate and solid college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
Swampscott High,Swampscott High,Swampscott,Public School,677,15.4,13.1,23.5,1.0,12.3,94.0,1.8,90.6,535.0,520.0,71.3,15095.06,Level 1,75.0,Thriving,Swampscott High boasts a high graduation rate and strong college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 1
Joseph Case High,Joseph Case Hig,Swansea,Public School,528,14.2,21.6,28.0,0.4,10.0,91.7,4.5,72.5,539.0,521.0,40.5,12862.4,Level 1,73.0,Performing,"Joseph Case High has strong graduation and college attendance rates, reflecting positive student outcomes.",Graduation rate,SAT scores,High School,Thriving,Level 1
Tantasqua Regional Sr High,Tantasqua Reg S,Fiskdale,Public School,760,13.7,12.9,17.1,0.1,5.9,94.8,2.1,83.6,575.0,543.0,71.8,13036.45,Level 1,67.0,Thriving,Tantasqua Regional Sr High boasts a high graduation rate and strong college attendance.,Graduation rate,N/A,High School,Thriving,Level 1
Tantasqua Regional Vocational,Tantasqua Reg V,Fiskdale,Public School,497,10.0,23.3,36.6,0.0,18.7,97.9,1.1,50.0,519.0,493.0,61.9,13036.45,Level 2,24.0,Performing,The school boasts a high graduation rate but has moderate college attendance.,Graduation rate,College attendance,High School,Struggling,Level 2
Taunton Alternative High School,Taunton Alt HS,Taunton,Public School,89,9.9,60.7,70.8,1.1,33.7,70.8,12.3,19.0,,,,12260.38,Insufficient data,,Struggling,The school has a significantly low college attendance rate of just 19%.,Small class size,Low graduation and college attendance,High School,At Risk,Insufficient data
Taunton High,Taunton High,Taunton,Public School,2502,19.8,37.1,44.5,2.6,14.6,92.6,3.1,72.2,502.0,495.0,56.0,12260.38,Level 3,24.0,Performing,Taunton High has a solid graduation rate but moderate college attendance and SAT scores.,Graduation rate,College attendance,High School,Thriving,Level 3
Tewksbury Memorial High,Tewksbury Memor,Tewksbury,Public School,980,20.1,12.3,22.9,0.7,14.4,94.4,3.2,77.7,512.0,495.0,65.3,14719.71,Level 1,64.0,Performing,"Tewksbury Memorial High shows strong graduation rates and AP performance, indicating solid academic achievement.",Graduation rate,SAT scores,High School,Thriving,Level 1
Tri-County Regional Vocational Technical,Tri-County Reg,Franklin,Public School,1023,16.8,20.8,42.8,0.4,29.5,96.0,2.2,58.4,494.0,489.0,42.7,17805.51,Level 1,63.0,Thriving,The school's graduation rate is exceptionally high at 96.0%.,Graduation,College attendance,High School,Performing,Level 1
Triton Regional High School,Triton Reg HS,Byfield,Public School,716,14.0,14.2,24.4,0.4,12.7,92.1,2.8,82.3,550.0,523.0,67.3,14986.68,Level 2,57.0,Performing,Triton Regional High School has a commendable graduation rate and strong AP performance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Tyngsborough High School,Tyngsborough HS,Tyngsborough,Public School,507,15.6,9.1,17.6,0.8,8.9,97.7,2.3,83.0,517.0,493.0,60.0,13184.83,Level 1,79.0,Thriving,Tyngsborough High School boasts an impressive graduation rate of 97.7% and strong college attendance.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Upper Cape Cod Vocational Technical,Upper Cape Cod,Bourne,Public School,709,15.2,25.8,38.4,0.0,17.5,99.4,0.0,62.2,483.0,466.0,,21312.85,Level 2,50.0,Performing,Upper Cape Cod boasts an impressive graduation rate of 99.4% with no dropout rate.,Graduation Rate,College Attendance,High School,Performing,Level 2
Uxbridge High,Uxbridge High,Uxbridge,Public School,482,16.9,17.2,27.0,1.0,14.9,89.0,8.1,72.9,523.0,511.0,58.9,12755.44,Level 2,43.0,Performing,"Uxbridge High has a solid graduation rate and college attendance, but SAT scores could improve.",Graduation rate,SAT scores,High School,Performing,Level 2
Wachusett Regional High,Wachusett Reg H,Holden,Public School,2140,17.6,8.6,19.2,0.6,12.5,95.4,2.7,84.6,554.0,538.0,88.3,11537.24,Level 2,80.0,Thriving,Wachusett Regional High showcases exceptional graduation and college attendance rates.,Graduation,N/A,High School,Thriving,Level 2
Wakefield Memorial High,Wakefield Memor,Wakefield,Public School,1016,14.6,12.7,23.5,1.2,14.1,96.9,0.8,87.5,537.0,524.0,73.9,13598.22,Level 2,48.0,Thriving,Wakefield Memorial High boasts an impressive graduation rate and high college attendance.,Graduation,SAT scores,High School,Thriving,Level 2
Walpole High,Walpole High,Walpole,Public School,1143,19.1,8.3,19.2,0.8,12.9,96.2,1.0,88.3,538.0,527.0,88.9,14077.67,Level 1,78.0,Thriving,"Walpole High boasts a high graduation rate and college attendance, indicating strong academic performance.",Graduation,SAT scores,High School,Thriving,Level 1
Waltham Sr High,Waltham Sr High,Waltham,Public School,1586,17.1,26.0,48.4,15.6,16.8,85.7,5.4,74.3,500.0,473.0,71.9,19940.44,Level 3,31.0,Performing,Waltham Sr High maintains a solid graduation rate while facing significant economic and high needs challenges.,Graduation rate,SAT scores,High School,Performing,Level 3
Ware Junior/Senior High School,Ware Junior/Sen,Ware,Public School,475,18.8,40.6,48.2,0.8,16.6,76.5,16.2,58.3,487.0,482.0,60.0,13208.06,Level 3,13.0,Struggling,The school has a high dropout rate and low college attendance compared to state averages.,AP success,Dropout rate,High School,Struggling,Level 3
Wareham Cooperative Alternative School,Wareham Coopera,Wareham,Public School,61,5.9,47.5,59.0,0.0,27.9,33.3,38.5,12.9,,,,14566.67,Insufficient data,,At Risk,"The school faces critical challenges, with only 33.3% graduation and a 38.5% dropout rate.",Small class size,Low graduation rate,High School,At Risk,Insufficient data
Wareham Senior High,Wareham Senior,Wareham,Public School,518,12.0,42.9,53.7,0.4,23.0,92.3,4.6,76.3,483.0,479.0,34.5,14566.67,Level 3,18.0,Performing,"Wareham Senior High has a solid graduation rate and college attendance, despite low SAT scores.",Graduation Rate,SAT Scores,High School,Thriving,Level 3
Watertown High,Watertown High,Watertown,Public School,662,13.7,23.6,43.4,7.6,21.1,87.9,7.1,85.6,534.0,503.0,80.3,20134.03,Level 2,43.0,Performing,Watertown High boasts a solid graduation rate and college attendance.,Graduation rate,SAT scores,High School,Performing,Level 2
Wayland High School,Wayland HS,Wayland,Public School,828,14.9,3.6,24.2,1.4,20.5,98.7,0.4,87.4,619.0,595.0,92.9,17652.41,Level 1,87.0,Thriving,Wayland High School boasts a graduation rate of 98.7% and strong college attendance.,Graduation Rate,None,High School,Thriving,Level 1
Bartlett High School,Bartlett HS,Webster,Public School,443,15.7,40.9,50.6,5.9,15.8,66.7,24.3,70.3,491.0,493.0,25.5,13976.95,Level 3,13.0,Struggling,"Bartlett High School has a high dropout rate and low graduation rate, indicating serious challenges.",College Attendance,Dropout Rate,High School,At Risk,Level 3
Wellesley Sr High,Wellesley Sr Hi,Wellesley,Public School,1512,16.2,6.5,21.2,0.7,15.5,97.3,0.8,85.8,614.0,601.0,95.6,18185.37,Level 1,89.0,Thriving,Wellesley Sr High boasts an impressive graduation rate of 97.3% and exceptional AP performance.,Graduation Rate,None,High School,Thriving,Level 1
West Boylston Junior/Senior High,W Boylston Juni,West Boylston,Public School,513,14.4,17.0,26.5,1.6,12.7,93.2,3.4,92.3,525.0,523.0,70.8,14689.13,Level 2,58.0,Performing,"The school has a strong graduation rate and college attendance, indicating solid overall performance.",Graduation rate,SAT scores,High School,Thriving,Level 2
West Bridgewater Junior/Senior,W Bridgewater J,West Bridgewater,Public School,619,17.3,14.1,20.8,0.3,7.9,98.2,0.9,86.9,508.0,506.0,47.6,11749.81,Level 2,75.0,Thriving,West Bridgewater J boasts impressive graduation and college attendance rates.,Graduation Rate,SAT Scores,High School,Thriving,Level 2
West Springfield High,W Springfield H,West Springfield,Public School,1219,15.3,38.5,48.8,6.7,18.9,86.3,5.8,70.2,508.0,487.0,42.2,13372.42,Level 3,15.0,Performing,"West Springfield High shows solid graduation rates and college attendance, with room for improvement in test scores.",Graduation Rate,SAT Scores,High School,Performing,Level 3
Westborough High,Westborough Hig,Westborough,Public School,1053,14.4,7.6,20.0,2.1,10.7,97.3,1.6,85.5,608.0,583.0,94.5,14745.64,Level 1,91.0,Thriving,Westborough High boasts an exceptional graduation rate and high AP performance.,Graduation Rate,N/A,High School,Thriving,Level 1
Westfield High,Westfield High,Westfield,Public School,1269,17.3,26.6,35.0,2.5,15.1,84.2,7.9,77.1,526.0,527.0,40.8,13622.87,Level 3,30.0,Performing,Westfield High displays solid graduation and college attendance rates with manageable dropout levels.,Graduation rate,SAT scores,High School,Performing,Level 3
Westfield Technical Academy,Westfield Tech,Westfield,Public School,540,14.0,34.4,53.7,1.1,28.3,90.8,6.4,46.7,458.0,452.0,,13622.87,Level 3,19.0,Performing,The school has a commendable graduation rate but lower college attendance and SAT scores.,Graduation rate,College attendance,High School,Struggling,Level 3
Westford Academy,Westford Acad,Westford,Public School,1680,19.7,3.6,13.3,0.7,9.8,98.6,0.5,91.0,612.0,594.0,96.0,13117.8,Level 1,90.0,Thriving,Westford Academy boasts exceptional graduation and college attendance rates alongside impressive AP performance.,Graduation rate,,High School,Thriving,Level 1
Weston High,Weston High,Weston,Public School,706,12.9,5.8,25.1,3.3,17.0,97.4,0.0,82.0,627.0,604.0,84.2,22768.35,Level 1,88.0,Thriving,Weston High boasts an impressive graduation rate and robust college attendance.,Graduation Rate,None,High School,Thriving,Level 1
Westwood High,Westwood High,Westwood,Public School,999,15.8,4.1,21.2,0.2,18.1,97.6,0.0,87.9,578.0,557.0,90.3,15853.36,Level 1,92.0,Thriving,Westwood High showcases exceptionally high graduation and college attendance rates.,Graduation,None,High School,Thriving,Level 1
Weymouth High School,Weymouth HS,Weymouth,Public School,1953,16.6,24.7,35.5,2.1,15.4,88.5,5.7,62.7,510.0,503.0,75.3,13675.12,Level 2,43.0,Performing,Weymouth High School has a commendable graduation rate and strong AP performance.,Graduation rate,College attendance,High School,Performing,Level 2
Whitman Hanson Regional,Whitman Hanson,Whitman,Public School,1170,20.9,17.5,26.0,0.3,13.1,93.8,1.3,76.4,518.0,499.0,56.7,11703.17,Level 1,54.0,Performing,Whitman Hanson has a commendable graduation rate and low dropout rate.,Graduation Rate,SAT Scores,High School,Thriving,Level 1
Whittier Regional Vocational,Whittier Reg Vo,Haverhill,Public School,1310,13.8,29.1,47.6,0.6,25.4,98.7,0.3,68.8,468.0,468.0,,18273.29,Level 2,67.0,Performing,Whittier Regional Vocational boasts a high graduation rate with minimal dropouts.,Graduation rate,SAT scores,High School,Performing,Level 2
Wilmington High,Wilmington High,Wilmington,Public School,891,14.5,8.1,19.4,0.7,13.0,94.1,1.5,86.9,527.0,514.0,69.1,15501.99,Level 2,69.0,Performing,Wilmington High demonstrates solid graduation and college attendance rates with room for improvement in SAT scores.,Graduation rate,SAT scores,High School,Thriving,Level 2
Murdock High School,Murdock HS,Winchendon,Public School,289,15.2,37.0,47.8,0.7,21.5,82.9,9.8,68.2,463.0,471.0,52.9,13855.25,Level 3,12.0,Performing,Murdock HS has an average graduation rate and college attendance despite challenges with dropout rates.,Graduation rate,SAT scores,High School,Performing,Level 3
Winchester High School,Winchester HS,Winchester,Public School,1268,17.0,5.6,24.1,1.5,18.0,97.5,0.6,87.5,617.0,587.0,89.0,12800.52,Level 1,99.0,Thriving,Winchester High School boasts an impressive graduation rate of 97.5% and strong college attendance.,Graduation Rate,None,High School,Thriving,Level 1
Winthrop High School,Winthrop HS,Winthrop,Public School,576,18.3,26.6,39.8,4.0,18.1,86.6,5.4,80.9,494.0,481.0,41.7,12547.75,Level 2,70.0,Performing,Winthrop High School demonstrates solid graduation and college attendance rates with room for improvement in standardized test scores.,Graduation Rate,SAT Scores,High School,Performing,Level 2
Woburn High,Woburn High,Woburn,Public School,1333,16.4,22.0,35.3,4.5,14.3,88.6,5.1,76.3,516.0,495.0,65.8,15158.26,Level 2,28.0,Performing,"Woburn High has a solid graduation rate and college attendance, reflecting average performance overall.",Graduation rate,SAT scores,High School,Performing,Level 2
Burncoat Senior High,Burncoat Senior,Worcester,Public School,1023,15.3,54.7,70.2,25.5,25.8,82.0,7.9,68.3,457.0,452.0,26.1,13901.25,Level 3,8.0,Struggling,Burncoat Senior High faces significant challenges with low SAT scores and college attendance rates.,Graduation,SAT scores,High School,Performing,Level 3
Claremont Academy,Claremont Acad,Worcester,Public School,532,17.6,65.0,83.5,40.8,11.7,86.0,5.3,59.3,371.0,354.0,6.6,13901.25,Level 3,14.0,Struggling,Claremont Academy has a low SAT performance and low AP scores despite moderate graduation rates.,Graduation rate,SAT scores,High School,Performing,Level 3
Doherty Memorial High,Doherty Memoria,Worcester,Public School,1555,13.5,43.9,58.9,22.8,16.5,84.4,6.3,75.2,484.0,468.0,47.5,13901.25,Level 3,19.0,Performing,Doherty Memorial High has a solid graduation rate and college attendance despite challenges with test scores.,Graduation,Test Scores,High School,Performing,Level 3
North High,N High,Worcester,Public School,1307,14.8,63.6,81.4,32.4,25.4,76.7,8.5,54.4,409.0,400.0,17.8,13901.25,Level 3,3.0,Struggling,North High faces significant challenges with low college attendance and SAT scores.,Commitment,Low performance,High School,Struggling,Level 3
South High Community,S High Comm,Worcester,Public School,1421,16.0,58.6,75.9,31.5,23.8,76.4,6.5,60.6,473.0,440.0,35.9,13901.25,Level 3,23.0,Struggling,The school has a low graduation rate and below-average SAT scores.,Diversity,Graduation,High School,Performing,Level 3
University Pk Campus School,Univ Pk Campus,Worcester,Public School,254,19.3,57.1,68.5,25.6,11.0,92.7,0.0,72.4,471.0,435.0,23.3,13901.25,Level 2,54.0,Performing,The school shows a strong graduation rate with no dropouts and decent college attendance.,Graduation rate,SAT scores,High School,Thriving,Level 2
Worcester Technical High,Worcester Tech,Worcester,Public School,1389,16.2,43.8,57.0,8.0,12.6,95.9,1.3,67.2,437.0,432.0,30.5,13901.25,Level 1,74.0,Performing,Worcester Tech has a high graduation rate and low dropout rate but average college attendance and test scores.,Graduation Rate,College Attendance,High School,Performing,Level 1
