School Name,School Name Short,Town,School Type,TOTAL_Enrollment,Average Class Size,% Economically Disadvantaged,% High Needs,Average Expenditures per Pupil,Accountability and Assistance Level,School Accountability Percentile (1-99),AI_Classification,AI_Insight,AI_Key_Strength,AI_Key_Concern,School_Level
McCarthy-Towne School,McCarthy-Towne,Acton,Public School,475,22.8,8.8,29.3,14016.2,Level 2,73.0,Performing,McCarthy-Towne School demonstrates solid academic outcomes with low warning rates among students.,Proficiency,Disparity,K-8
Merriam School,Merriam Sch,Acton,Public School,517,22.2,6.6,25.5,14016.2,Level 2,87.0,Performing,Merriam School demonstrates solid math proficiency rates in 3rd and 4th grade.,Math Proficiency,English Proficiency,K-8
Paul P Gates Elementary School,Paul P Gates El,Acton,Public School,404,22.4,9.9,30.9,14016.2,Level 1,96.0,Thriving,Paul P Gates El demonstrates excellent MCAS proficiency rates and minimal warning rates.,Proficiency,High Needs,K-8
Athol Community Elementary School,Athol Comm Elem,Athol,Public School,577,15.6,56.7,66.2,13694.87,Level 4,1.0,At Risk,The school demonstrates alarmingly low proficiency rates in both math and English across grades.,Dedicated staff,Low proficiency,K-8
Royalston Community School,Royalston Comm,Royalston,Public School,144,17.3,37.5,46.5,13694.87,Level 3,20.0,Struggling,"The school exhibits low English proficiency rates, indicating a need for focused academic intervention.",Math performance,English proficiency,K-8
Atlantis Charter School,Atlantis CS,Fall River,Charter School,1111,21.7,41.4,50.0,,Level 2,67.0,Performing,The school has strong 3rd grade math proficiency but struggles with 4th grade outcomes.,3rd Grade Math,4th Grade Performance,K-8
New Hingham Regional Elementary,New Hingham Reg,Chesterfield,Public School,140,13.7,26.4,42.1,14070.55,Level 2,55.0,Performing,The school demonstrates solid proficiency rates in math and English for 3rd graders.,Proficiency,4th Grade Math,K-8
Community Day Charter Public School - Gateway,Comm Day CS Pub,Lawrence,Charter School,280,20.0,50.7,83.6,,Insufficient data,,Performing,The school maintains solid proficiency rates despite a high percentage of economically disadvantaged students.,Proficiency,Demographics,K-8
Community Day Charter Public School - Prospect,Comm Day CS P 2,Lawrence,Charter School,400,20.9,48.3,74.8,,Level 1,89.0,Performing,The school demonstrates solid proficiency rates while effectively supporting a diverse student population.,Proficiency,English,K-8
Community Day Charter Public School - R. Kingman Webster,Comm Day CS P 3,Lawrence,Charter School,280,20.0,48.6,76.4,,Insufficient data,,Thriving,The school demonstrates strong proficiency rates despite serving a high percentage of economically disadvantaged students.,Proficiency,Demographics,K-8
Dighton Elementary,Dighton Elem,Dighton,Public School,420,19.3,15.2,23.6,13315.89,Level 2,44.0,Performing,Dighton Elementary demonstrates solid proficiency rates in math and English for grades three and four.,Proficiency,Equity,K-8
Palmer River,Palmer River,Rehoboth,Public School,564,20.3,12.2,18.1,13315.89,Level 2,35.0,Performing,Palmer River demonstrates solid math proficiency but shows room for improvement in English scores.,Math proficiency,English scores,K-8
Dudley Elementary,Dudley Elem,Dudley,Public School,373,21.4,24.9,35.9,11584.81,Level 2,70.0,Performing,"Dudley Elementary shows solid proficiency rates, particularly in 3rd grade math.",Proficiency,English,K-8
Heritage School,Heritage Sch,Charlton,Public School,496,20.0,18.1,31.3,11584.81,Level 2,61.0,Performing,Heritage School shows average proficiency rates with low warning/fail rates in key subjects.,Proficiency,Math,K-8
Farmington River Elementary,Farmington Rive,Otis,Public School,114,14.6,33.3,43.0,17094.52,Level 2,42.0,Performing,Farmington River Elementary demonstrates solid proficiency rates with manageable warning/failure rates.,Proficiency,Demographics,K-8
George R Austin Intermediate School,George R Austin,Lakeville,Public School,473,22.7,19.5,31.9,12187.71,Level 2,67.0,Performing,George R Austin Intermediate School demonstrates solid proficiency rates in math and English for 4th graders.,Proficiency,Needs,K-8
Penn Brook,Penn Brook,Georgetown,Public School,697,38.7,9.3,17.9,12601.51,Level 3,65.0,Performing,Penn Brook shows solid MCAS proficiency in math but moderate performance in English language arts.,Math,English,K-8
Millbury Street Elementary School,Millbury Street,Grafton,Public School,679,22.2,13.5,29.2,11043.15,Level 2,71.0,Performing,"Millbury Street Elementary demonstrates solid proficiency rates, particularly in 3rd grade math.",Proficiency,Equity,K-8
North Street Elementary School,N Street Elem,Grafton,Public School,597,22.8,13.1,27.8,11043.15,Level 2,72.0,Performing,"North Street Elementary School demonstrates solid math proficiency rates, especially in 3rd grade.",Math Proficiency,English Proficiency,K-8
Hadley Elementary,Hadley Elem,Hadley,Public School,304,20.3,18.8,30.6,12553.08,Level 2,45.0,Performing,Hadley Elementary shows solid proficiency rates but room for improvement in 4th grade English.,Proficiency,English,K-8
Halifax Elementary,Halifax Elem,Halifax,Public School,592,19.4,18.9,31.4,13890.7,Level 2,72.0,Performing,"Halifax Elementary showcases strong math proficiency, though English scores indicate room for improvement.",Math,English,K-8
Green Meadows Elementary,Green Meadows E,Hampden,Public School,247,18.8,16.2,33.2,13829.67,Level 2,52.0,Performing,Green Meadows Elementary shows average proficiency in math and English with manageable warning rates.,Math proficiency,English proficiency,K-8
Soule Road,Soule Road,Wilbraham,Public School,339,24.3,17.1,24.5,13829.67,Level 2,64.0,Performing,"Soule Road demonstrates average proficiency rates, with low warning/fail rates in critical subjects.",Proficiency,High Needs,K-8
Hildreth Elementary School,Hildreth Elem,Harvard,Public School,433,18.4,3.7,15.9,15798.53,Level 1,99.0,Thriving,Hildreth Elementary boasts exceptional proficiency rates in math and English across all grades.,Proficiency,None,K-8
Hawlemont Regional,Hawlemont Reg,Charlemont,Public School,105,12.5,52.4,63.8,15857.41,Level 2,31.0,Struggling,The school's low 4th grade math proficiency highlights significant performance challenges.,English Proficiency,Math Proficiency,K-8
Hilltown Cooperative Charter Public School,Hilltown Cooper,Easthampton,Charter School,218,29.2,11.5,24.3,,Level 3,87.0,Thriving,Hilltown Cooperative Charter Public School demonstrates strong MCAS proficiency rates with minimal warning/fail rates.,Proficiency,None,K-8
East Elementary School,E Elem,Hingham,Public School,543,21.3,5.7,15.8,12367.63,Level 1,98.0,Thriving,East Elementary School boasts exceptional MCAS proficiency rates and low warning/fail rates across grade levels.,Proficiency,None,K-8
Plymouth River,Plymouth River,Hingham,Public School,470,21.3,5.1,15.1,12367.63,Level 1,99.0,Thriving,Plymouth River boasts exceptional MCAS proficiency rates with no warning or failing students.,Proficiency,None,K-8
South Elementary,S Elem 3,Hingham,Public School,512,21.6,3.1,14.5,12367.63,Level 1,98.0,Thriving,South Elementary boasts exceptionally high MCAS proficiency rates across all tested grades.,Proficiency,None,K-8
Wm L Foster Elementary,Wm L Foster Ele,Hingham,Public School,470,20.1,6.2,16.8,12367.63,Level 2,96.0,Performing,The school boasts high proficiency rates in math and strong performance in English.,Proficiency rates,English performance,K-8
Miller School,Miller Sch,Holliston,Public School,682,19.9,7.8,26.2,13446.3,Level 2,77.0,Performing,Miller School demonstrates solid proficiency rates in both math and English for 3rd and 4th grades.,Proficiency,Engagement,K-8
Memorial,Memorial 2,Hopedale,Public School,549,22.9,10.6,26.8,11836.82,Level 2,84.0,Performing,Memorial School shows solid proficiency in math and English across grades 3 and 4.,Proficiency,Equity,K-8
Hopkins Elementary School,Hopkins Elem,Hopkinton,Public School,497,22.4,5.2,17.5,13534.81,Level 2,79.0,Thriving,"Hopkins Elementary excels in MCAS scores, with low warning rates and a strong accountability percentile.",Proficiency,High Needs,K-8
C A Farley,C A Farley,Hudson,Public School,487,18.9,26.5,39.2,14637.03,Level 3,28.0,Struggling,"The school's proficiency rates in English and math are significantly below average, indicating an urgent need for intervention.",Math performance,English proficiency,K-8
Forest Avenue Elementary,Forest Avenue E,Hudson,Public School,325,20.0,18.8,34.8,14637.03,Level 2,43.0,Performing,"3rd grade math proficiency is strong, but 4th grade outcomes show significant room for improvement.",Math proficiency,English outcomes,K-8
Mulready Elementary,Mulready Elem,Hudson,Public School,250,16.5,25.2,41.2,14637.03,Level 2,53.0,Performing,"Mulready Elementary has solid math performance, but English proficiency in 3rd grade is notably low.",Math,English,K-8
Paul F Doyon Memorial,Paul F Doyon Me,Ipswich,Public School,394,19.7,11.4,27.9,14069.27,Level 2,66.0,Performing,The school demonstrates solid proficiency rates in math and English despite diverse student needs.,Proficiency,Diversity,K-8
Winthrop,Winthrop,Ipswich,Public School,383,19.0,20.1,31.9,14069.27,Level 1,70.0,Error,Expecting value: line 1 column 1 (char 0),N/A,N/A,K-8
Lawrence Family Development Charter School,Lawrence Fami 2,Lawrence,Charter School,717,18.3,54.7,69.7,,Level 1,81.0,Performing,The school shows strong math performance despite a notable gap in English proficiency rates.,Math proficiency,English proficiency,K-8
Lee Elementary,Lee Elem,Lee,Public School,336,15.9,41.4,51.2,16517.82,Level 2,54.0,Struggling,"Lee Elementary shows concerning proficiency rates, particularly in 4th grade English.",Math proficiency,English proficiency,K-8
Morris,Morris,Lenox,Public School,310,17.5,17.1,27.4,17527.3,Level 1,88.0,Performing,"Morris School demonstrates strong math proficiency, particularly at the 3rd grade level.",Math proficiency,English outcomes,K-8
Bowman,Bowman,Lexington,Public School,567,22.4,6.3,34.0,17866.69,Level 1,98.0,Thriving,Bowman School exhibits excellent MCAS proficiency rates and minimal warning/fail rates.,Proficiency,High Needs,K-8
Bridge,Bridge,Lexington,Public School,565,21.7,5.0,25.1,17866.69,Level 2,98.0,Thriving,Bridge School has exceptionally high MCAS proficiency rates and low warning/fail rates.,Proficiency,N/A,K-8
Fiske,Fiske,Lexington,Public School,479,21.9,2.9,31.1,17866.69,Level 1,97.0,Thriving,"Fiske School boasts high MCAS proficiency rates, especially in math, with minimal warning/fail rates.",Proficiency,High Needs,K-8
Harrington,Harrington,Lexington,Public School,465,21.3,4.5,23.0,17866.69,Level 1,96.0,Thriving,Harrington excels with high proficiency rates in 3rd and 4th grade across all subjects.,Proficiency,None,K-8
Joseph Estabrook,Joseph Estabroo,Lexington,Public School,535,21.5,6.4,28.6,17866.69,Level 1,97.0,Thriving,Joseph Estabrook achieves exceptionally high proficiency rates in both math and English.,Proficiency,Equity,K-8
Maria Hastings,Maria Hastings,Lexington,Public School,455,19.6,5.7,41.5,17866.69,Level 1,99.0,Thriving,"Maria Hastings boasts exceptional MCAS proficiency rates, reflecting strong academic performance.",Proficiency,High Needs,K-8
Hanscom Middle,Hanscom Middle,Hanscom Air Force Bs,Public School,249,14.2,2.4,21.7,20937.15,Level 2,74.0,Struggling,The school has low proficiency rates in both 4th grade math and significant warning rates.,Engagement,Proficiency,K-8
Lincoln School,Lincoln Sch 2,Lincoln,Public School,629,16.8,8.1,25.9,20937.15,Level 1,93.0,Thriving,Lincoln School demonstrates excellent proficiency rates and low warning/fail rates across all metrics.,Proficiency,None,K-8
Russell St Elementary,Russell St Elem,Littleton,Public School,387,23.4,10.1,27.6,13990.04,Level 2,66.0,Performing,"Russell St Elementary demonstrates solid proficiency rates, particularly in 3rd grade math.",Proficiency,Equity,K-8
Blueberry Hill,Blueberry Hill,Longmeadow,Public School,426,19.8,6.6,21.4,14385.39,Level 1,89.0,Thriving,Blueberry Hill boasts impressive MCAS proficiency rates and zero warning/fail rates in critical subjects.,Proficiency,N/A,K-8
Center,Ctr 2,Longmeadow,Public School,404,17.7,5.2,21.0,14385.39,Level 2,81.0,Thriving,Center School boasts high MCAS proficiency rates across grades 3 and 4.,Proficiency,None,K-8
Wolf Swamp Road,Wolf Swamp Road,Longmeadow,Public School,386,20.1,10.1,26.7,14385.39,Level 2,70.0,Thriving,Wolf Swamp Road boasts strong MCAS proficiency rates and low warning/fail rates.,Proficiency,Needs,K-8
Huckleberry Hill,Huckleberry Hil,Lynnfield,Public School,413,20.7,7.5,20.1,13899.53,Level 1,99.0,Thriving,Huckleberry Hill demonstrates exceptional academic performance with MCAS proficiency rates above 80%.,Proficiency,N/A,K-8
Summer Street,Summer Street,Lynnfield,Public School,421,20.8,3.8,17.8,13899.53,Level 1,99.0,Thriving,Summer Street excels in MCAS proficiency with minimal warning/fail rates.,Proficiency,Diversity,K-8
Essex Elementary,Essex Elem,Essex,Public School,225,20.1,13.8,22.7,15313.52,Level 2,74.0,Performing,Essex Elementary shows strong math proficiency rates with minimal warning rates.,Proficiency,English,K-8
Manchester Memorial Elementary,Manchester Memo,Manchester,Public School,361,19.1,5.0,14.4,15313.52,Level 2,92.0,Thriving,Manchester Memorial Elementary boasts high MCAS proficiency rates and low warning/fail rates.,Proficiency,None,K-8
Marblehead Community Charter Public School,Marblehead Comm,Marblehead,Charter School,230,19.5,3.0,28.7,,Level 2,84.0,Performing,The school exhibits strong English proficiency rates but moderate math proficiency.,English Skills,Math Proficiency,K-8
Daniel Webster,Daniel Webster,Marshfield,Public School,379,17.8,16.1,30.9,12709.0,Level 1,84.0,Thriving,Daniel Webster excels with high proficiency rates and very low warning/fail rates.,Proficiency,Disparity,K-8
Eames Way School,Eames Way Sch,Marshfield,Public School,254,20.8,9.1,20.9,12709.0,Level 2,91.0,Performing,Eames Way School demonstrates strong math proficiency in 3rd grade and solid outcomes overall.,Math Proficiency,4th Grade Math,K-8
Gov Edward Winslow,Gov Edward Wins,Marshfield,Public School,423,19.5,13.2,23.9,12709.0,Level 2,90.0,Thriving,"Gov Edward Winslow excels in math proficiency, showcasing strong student performance.",Proficiency,Equity,K-8
Martinson Elementary,Martinson Elem,Marshfield,Public School,442,19.3,13.6,29.6,12709.0,Level 2,88.0,Thriving,"Martinson Elementary showcases strong MCAS proficiency rates, particularly in math for 3rd and 4th grades.",Proficiency,None,K-8
South River,S River,Marshfield,Public School,361,19.8,7.5,21.6,12709.0,Level 2,79.0,Performing,South River excels in 3rd grade math proficiency but shows room for improvement in 4th grade outcomes.,Math,English,K-8
Burke/Memorial Elementary School,Burke/Memorial,Medway,Public School,501,21.0,9.4,21.4,13307.78,Level 2,82.0,Thriving,Burke/Memorial Elementary School shows strong MCAS proficiency rates in math and English.,Proficiency,None,K-8
Henry P Clough,Henry P Clough,Mendon,Public School,428,19.9,8.2,18.9,13742.48,Level 1,85.0,Thriving,Henry P Clough excels with high MCAS proficiency rates and minimal warning/fail rates.,Proficiency,None,K-8
Memorial School,Memorial Sch 2,Upton,Public School,437,20.3,9.6,23.1,13742.48,Level 1,90.0,Thriving,"Memorial School boasts high MCAS proficiency rates, especially in math.",Proficiency,None,K-8
Comprehensive Grammar School,Comprehensive G,Methuen,Public School,1115,21.2,26.3,45.0,12808.32,Level 2,63.0,Performing,The school shows solid performance in 3rd grade math but has room for improvement in other areas.,3rd grade math,4th grade performance,K-8
Donald P Timony Grammar,Donald P Timony,Methuen,Public School,1349,20.9,40.4,53.2,12808.32,Level 2,41.0,Performing,The school shows average proficiency rates with modest warning rates across grades.,Math proficiency,English proficiency,K-8
Marsh Grammar School,Marsh Grammar S,Methuen,Public School,1242,22.9,24.5,39.8,12808.32,Level 2,64.0,Performing,Marsh Grammar School demonstrates solid math proficiency but has room for improvement in English outcomes.,Math proficiency,English outcomes,K-8
Tenney Grammar School,Tenney Grammar,Methuen,Public School,1299,20.8,36.7,52.3,12808.32,Level 2,50.0,Performing,The school shows solid proficiency in 3rd grade math but struggles in 4th grade English and math.,3rd Grade Math,4th Grade Performance,K-8
Clyde F Brown,Clyde F Brown,Millis,Public School,504,18.8,9.3,20.0,13489.87,Level 2,73.0,Performing,The school shows good math proficiency but average English results for 3rd and 4th graders.,Math Proficiency,English Performance,K-8
Buckland-Shelburne Regional,Buckland-Shelbu,Shelburne Falls,Public School,259,30.2,35.1,46.3,17491.91,Level 2,42.0,Struggling,"The school shows significant gaps in 4th grade proficiency rates, especially in math and English.",3rd Grade Math,4th Grade Performance,K-8
Colrain Central,Colrain Central,Colrain,Public School,112,14.1,33.0,42.0,17491.91,Level 2,48.0,Performing,"Colrain Central shows average proficiency in English but lower performance in math, indicating areas for improvement.",English proficiency,Math performance,K-8
Sanderson Academy,Sanderson Acad,Ashfield,Public School,143,16.8,25.2,34.3,17491.91,Level 2,55.0,Performing,Sanderson Academy excels in 3rd grade math but has notable challenges in 4th grade performance.,3rd Grade Math,4th Grade Performance,K-8
Baldwinville Elementary,Baldwinville El,Baldwinville,Public School,277,22.6,26.0,35.0,12696.99,Level 3,13.0,Struggling,Baldwinville Elementary has notably low proficiency rates in 4th grade math at 33%.,3rd Grade Math,4th Grade Proficiency,K-8
Phillipston Memorial,Phillipston Mem,Phillipston,Public School,163,17.3,33.1,52.1,12696.99,Level 2,36.0,Struggling,The school has notably low MCAS proficiency rates in both 3rd and 4th grade English.,Engagement,Proficiency,K-8
Center School,Ctr Sch 3,Stow,Public School,609,21.0,5.1,20.2,14264.04,Level 1,86.0,Thriving,Center School demonstrates exceptional proficiency rates in math and English for 3rd and 4th graders.,Proficiency,None,K-8
Florence Sawyer School,Florence Sawyer,Bolton,Public School,774,20.8,5.2,18.7,14264.04,Level 2,88.0,Thriving,Florence Sawyer School boasts high MCAS proficiency rates and low warning/fail rates across all subjects.,Proficiency,N/A,K-8
Mary Rowlandson Elementary,Mary Rowlandson,Lancaster,Public School,485,20.4,19.0,34.2,14264.04,Level 2,79.0,Performing,"Mary Rowlandson Elementary demonstrates solid proficiency rates, especially in 3rd grade math.",Proficiency,Diversity,K-8
Broadmeadow,Broadmeadow,Needham,Public School,553,21.6,4.2,16.8,15900.29,Level 1,91.0,Thriving,Broadmeadow demonstrates strong MCAS proficiency rates with minimal warning/fail rates.,Proficiency,N/A,K-8
Hillside Elementary,Hillside Elem,Needham,Public School,472,21.4,4.9,22.7,15900.29,Level 1,81.0,Thriving,Hillside Elementary shows exceptional proficiency rates in math and English across all grades.,Proficiency,High Needs,K-8
John Eliot,John Eliot,Needham,Public School,392,20.0,9.4,31.6,15900.29,Level 1,84.0,Performing,"John Eliot excels in 3rd grade math proficiency, showcasing strong foundational skills.",Proficiency rates,4th grade math,K-8
Newman Elementary,Newman Elem,Needham,Public School,720,20.8,6.8,26.1,15900.29,Level 2,68.0,Performing,"Newman Elementary shows solid proficiency rates, particularly in 3rd grade math.",Proficiency,4th Grade English,K-8
William Mitchell,William Mitchel,Needham,Public School,495,20.6,2.0,13.7,15900.29,Level 2,87.0,Thriving,William Mitchell demonstrates exceptional proficiency rates in both math and English for its students.,Proficiency,Needs,K-8
Freeman-Kennedy School,Freeman-Kennedy,Norfolk,Public School,495,22.4,6.1,19.6,14898.0,Level 2,91.0,Thriving,Freeman-Kennedy School showcases high MCAS proficiency rates with low warning/fail metrics.,Proficiency,None,K-8
Annie L Sargent School,Annie L Sargent,North Andover,Public School,552,22.1,5.8,17.0,12054.9,Level 2,76.0,Performing,The school excels in 3rd grade math but shows improvement needs in 4th grade outcomes.,3rd grade math,4th grade performance,K-8
Atkinson,Atkinson,North Andover,Public School,549,21.3,24.6,43.4,12054.9,Level 2,49.0,Performing,Atkinson School demonstrates average proficiency rates with low warning/fail rates across key subjects.,Low warning/fail rates,Proficiency in English,K-8
Franklin,Franklin 2,North Andover,Public School,477,24.0,6.9,23.1,12054.9,Level 2,86.0,Performing,Franklin School demonstrates strong math proficiency in 3rd grade with low warning rates.,Math proficiency,4th grade outcomes,K-8
Kittredge,Kittredge 2,North Andover,Public School,296,24.8,9.5,20.9,12054.9,Level 1,89.0,Thriving,Kittredge School demonstrates strong MCAS proficiency rates and low warning/fail rates in multiple key areas.,Proficiency,None,K-8
Thomson,Thomson,North Andover,Public School,362,23.9,24.0,38.4,12054.9,Level 2,60.0,Performing,The school's math proficiency rates are notably strong in 3rd grade but lag in 4th grade.,Math,4th Grade,K-8
Amvet Boulevard,Amvet Boulevard,North Attleborough,Public School,395,19.1,10.1,22.8,11245.15,Level 1,89.0,Performing,"Amvet Boulevard shows solid proficiency rates, particularly in 3rd grade math.",Proficiency,4th Grade English,K-8
Community,Comm,North Attleborough,Public School,337,13.2,39.8,59.9,11245.15,Level 2,46.0,Performing,The school demonstrates average proficiency rates but faces challenges in 4th grade math outcomes.,Math,4th Grade,K-8
Falls,Falls,North Attleborough,Public School,282,15.0,16.7,27.0,11245.15,Level 1,91.0,Thriving,"Falls shows strong MCAS proficiency rates, particularly in 3rd grade math.",Proficiency,None,K-8
Joseph W Martin Jr Elementary,Joseph W Martin,North Attleborough,Public School,683,24.6,12.4,26.5,11245.15,Level 2,65.0,Performing,"The school exhibits solid proficiency rates, particularly in 3rd grade math.",Math proficiency,4th grade English,K-8
Roosevelt Avenue,Roosevelt Avenu,North Attleborough,Public School,312,21.2,10.9,23.4,11245.15,Level 1,83.0,Performing,"Roosevelt Avenue enjoys strong MCAS proficiency rates, particularly in 3rd grade math.",Math proficiency,4th grade English,K-8
Ashby Elementary,Ashby Elem,Ashby,Public School,216,18.9,25.0,42.1,13761.7,Level 2,52.0,Performing,Ashby Elementary shows strong math proficiency but lower English performance needs attention.,Math Proficiency,English Proficiency,K-8
Spaulding Memorial,Spaulding Memor,Townsend,Public School,427,21.0,22.5,36.1,13761.7,Level 2,43.0,Performing,Spaulding Memorial shows solid 3rd grade math proficiency but struggles with 4th grade math outcomes.,Proficiency,4th Grade Math,K-8
Varnum Brook,Varnum Brook,Pepperell,Public School,563,21.8,19.4,34.6,13761.7,Level 2,59.0,Performing,Varnum Brook demonstrates solid proficiency rates with minimal warning rates across all tested areas.,Proficiency,High Needs,K-8
Bridge Street,Bridge Street,Northampton,Public School,266,17.1,33.8,54.9,14056.81,Level 3,20.0,Struggling,4th grade proficiency rates in math and English raise significant concerns.,3rd Grade Math,4th Grade Performance,K-8
Jackson Street,Jackson Street,Northampton,Public School,330,18.9,27.3,38.8,14056.81,Level 2,60.0,Performing,Jackson Street showcases solid proficiency rates in math and English with manageable warning rates.,Proficiency,Demographics,K-8
Leeds,Leeds,Leeds,Public School,339,19.5,23.9,32.7,14056.81,Level 2,48.0,Performing,Leeds School shows solid proficiency rates in 3rd and 4th grade math and English.,Proficiency,High Needs,K-8
R. K. Finn Ryan Road,R. K. Finn Ryan,Florence,Public School,228,19.7,37.7,46.5,14056.81,Level 2,27.0,Struggling,"The school's 4th-grade math proficiency is notably low at 37%, indicating significant room for improvement.",3rd Grade Performance,4th Grade Proficiency,K-8
Fannie E Proctor,Fannie E Procto,Northborough,Public School,239,17.6,18.0,33.5,14848.5,Level 2,58.0,Performing,"Fannie E Proctor shows solid proficiency rates, particularly in 3rd grade math.",Math proficiency,4th grade English,K-8
Lincoln Street,Lincoln Street,Northborough,Public School,261,17.6,12.3,29.1,14848.5,Level 2,71.0,Performing,The school excels in 3rd grade math proficiency but shows room for improvement in 4th grade outcomes.,3rd Grade Math,4th Grade Performance,K-8
Marguerite E Peaslee,Marguerite E Pe,Northborough,Public School,269,20.4,8.2,28.6,14848.5,Level 2,70.0,Performing,The school shows solid proficiency in 3rd-grade math but has room for improvement in 4th grade.,Math,4th Grade,K-8
Marion E Zeh,Marion E Zeh,Northborough,Public School,303,17.6,6.3,29.7,14848.5,Level 2,70.0,Performing,Marion E Zeh demonstrates solid proficiency rates in both math and English for 3rd and 4th grades.,Proficiency,High Needs,K-8
W Edward Balmer,W Edward Balmer,Whitinsville,Public School,527,23.5,33.8,44.4,12437.24,Level 3,13.0,Struggling,"The school shows significant challenges in 4th grade proficiency rates, especially in English.",3rd Grade Math,4th Grade English,K-8
Henri A. Yelle,Henri A. Yelle,Norton,Public School,373,22.9,17.2,31.1,13218.59,Level 2,59.0,Performing,Henri A. Yelle demonstrates solid proficiency rates in 4th grade English and math.,Proficiency,High Needs,K-8
Orleans Elementary,Orleans Elem,Orleans,Public School,215,16.4,21.9,32.6,20785.05,Level 2,89.0,Thriving,Orleans Elementary boasts impressive MCAS proficiency rates and minimal warning/fail rates across all grades and subjects.,Proficiency,N/A,K-8
Clara Barton,Clara Barton,Oxford,Public School,417,26.2,34.1,40.0,13125.98,Level 2,23.0,Performing,"Clara Barton shows average MCAS proficiency rates, particularly in 4th grade math and English.",3rd grade math proficiency,4th grade performance,K-8
Old Mill Pond,Old Mill Pond,Palmer,Public School,693,15.7,43.9,52.7,14119.7,Level 2,22.0,Performing,Strong 3rd grade math proficiency but lower outcomes in 4th grade math and English.,Math,English,K-8
Captain Samuel Brown,Captain Samuel,Peabody,Public School,369,16.4,29.3,49.6,13495.79,Level 2,32.0,Struggling,"The school shows significant disparities in 4th grade proficiency rates, particularly in math and English.",3rd Grade Performance,4th Grade Outcomes,K-8
Center,Ctr 4,Peabody,Public School,386,20.2,30.8,45.1,13495.79,Level 2,29.0,Performing,The school exhibits average MCAS proficiency rates with minimal warning/fail rates.,Proficiency,Disadvantage,K-8
John E Burke,John E Burke,Peabody,Public School,275,18.0,15.3,27.3,13495.79,Level 2,54.0,Performing,The school excels in 3rd grade math proficiency with a 90% positive outcome rate.,Math proficiency,4th grade outcomes,K-8
John E. McCarthy,John E. McCarth,Peabody,Public School,353,19.6,29.2,49.9,13495.79,Level 2,66.0,Performing,The school shows strong math proficiency in 3rd grade but has room for improvement in English skills.,Math,English,K-8
South Memorial,S Memorial,Peabody,Public School,465,20.9,24.3,33.3,13495.79,Level 2,41.0,Performing,"3rd grade math scores are strong, but 4th grade math shows significant room for improvement.",3rd Grade Math,4th Grade Math,K-8
Thomas Carroll,Thomas Carroll,Peabody,Public School,619,21.3,44.6,59.0,13495.79,Level 2,28.0,Struggling,The school's 4th grade math proficiency is notably low at 36%.,3rd Grade Proficiency,4th Grade Math,K-8
West Memorial,W Memorial,Peabody,Public School,238,16.6,16.0,27.7,13495.79,Level 1,44.0,Performing,"West Memorial demonstrates solid MCAS proficiency rates, especially in 4th grade English.",Proficiency,English,K-8
William A Welch Sr,William A Welch,Peabody,Public School,372,20.7,54.6,68.5,13495.79,Level 2,31.0,Struggling,"The school faces challenges in both math and English proficiency, particularly in 4th grade results.",Engagement,Proficiency,K-8
Pioneer Valley Chinese Immersion Charter School,Pioneer Valle 2,Hadley,Charter School,471,16.9,15.5,22.7,,Level 1,98.0,Thriving,"The school boasts exceptional MCAS proficiency rates, particularly in 3rd grade math and 4th grade English.",Proficiency,None,K-8
Hardwick Elementary,Hardwick Elem,Gilbertville,Public School,194,19.2,41.8,50.0,13957.09,Level 2,35.0,Performing,Hardwick Elementary demonstrates average MCAS proficiency rates and a significant percentage of economically disadvantaged students.,Proficiency,Disadvantage,K-8
Hubbardston Center,Hubbardston Ctr,Hubbardston,Public School,316,22.2,19.0,32.9,13957.09,Level 2,63.0,Performing,Hubbardston Center demonstrates solid proficiency rates with manageable warning rates.,Proficiency,English,K-8
Oakham Center,Oakham Ctr,Oakham,Public School,149,20.6,21.5,30.2,13957.09,Level 2,65.0,Performing,Oakham Center shows strong performance in 3rd grade math but has room for improvement in 4th grade math.,3rd grade math proficiency,4th grade math outcomes,K-8
Ruggles Lane,Ruggles Lane,Barre,Public School,368,24.5,31.5,43.2,13957.09,Level 2,41.0,Performing,Ruggles Lane shows strong math outcomes but struggles in 3rd grade English proficiency.,Math proficiency,English proficiency,K-8
Atherton Hough,Atherton Hough,Quincy,Public School,268,14.0,28.0,47.4,16022.62,Level 2,36.0,Performing,The school shows strong 3rd-grade math proficiency but lower performance in 4th-grade subjects.,Math,4th Grade,K-8
Beechwood Knoll Elementary,Beechwood Knoll,Quincy,Public School,350,18.1,30.0,47.1,16022.62,Level 2,77.0,Performing,Beechwood Knoll demonstrates solid math proficiency while facing challenges in English language outcomes.,Math proficiency,English outcomes,K-8
Charles A Bernazzani Elementary,Charles A Berna,Quincy,Public School,342,17.9,22.8,45.3,16022.62,Level 2,64.0,Performing,Students demonstrate solid proficiency in math and English with low warning rates.,Proficiency,Demographics,K-8
Clifford H Marshall Elementary,Clifford H Mars,Quincy,Public School,575,16.5,44.2,66.8,16022.62,Level 2,26.0,Performing,Clifford H Marshall Elementary shows solid proficiency rates despite a high percentage of economically disadvantaged students.,Proficiency,Economic Disadvantage,K-8
